User ID,Gender,Age,Activity Level,Location,App Sessions,Distance Travelled (km),Calories Burned,Calories_per_Session,Distance_per_Session,Cluster
185,Male,32,Active,Rural,195,191,468,2.4,0.9794871794871794,2
186,Male,21,Active,Suburban,191,112,627,3.282722513089005,0.5863874345549738,1
187,Male,18,Moderate,Rural,114,75,326,2.8596491228070176,0.6578947368421053,0
188,Female,32,Active,Urban,151,87,410,2.7152317880794703,0.5761589403973509,2
189,Female,41,Active,Rural,158,144,459,2.9050632911392404,0.9113924050632911,2
190,Male,48,Active,Suburban,195,98,789,4.046153846153846,0.5025641025641026,1
191,Male,37,Moderate,Urban,107,53,423,3.953271028037383,0.4953271028037383,2
192,Male,27,Sedentary,Urban,90,70,312,3.466666666666667,0.7777777777777778,0
193,Female,28,Sedentary,Urban,70,69,243,3.4714285714285715,0.9857142857142858,0
194,Female,35,Moderate,Urban,127,116,477,3.7559055118110236,0.9133858267716536,2
195,Male,51,Sedentary,Suburban,97,91,197,2.0309278350515463,0.9381443298969072,0
196,Female,45,Moderate,Rural,141,110,701,4.971631205673759,0.7801418439716312,1
197,Male,55,Active,Urban,173,90,530,3.0635838150289016,0.5202312138728323,2
198,Female,33,Sedentary,Rural,52,36,199,3.826923076923077,0.6923076923076923,0
199,Male,41,Moderate,Rural,121,70,407,3.3636363636363638,0.5785123966942148,2
200,Male,56,Moderate,Rural,121,63,472,3.9008264462809916,0.5206611570247934,2
201,Female,29,Active,Rural,152,85,322,2.1184210526315788,0.5592105263157895,0
202,Female,59,Moderate,Suburban,117,85,328,2.8034188034188032,0.7264957264957265,0
203,Male,24,Sedentary,Urban,66,56,260,3.9393939393939394,0.8484848484848485,0
204,Male,53,Active,Urban,154,108,616,4.0,0.7012987012987013,1
205,Female,34,Moderate,Rural,116,114,444,3.8275862068965516,0.9827586206896551,2
206,Male,21,Active,Urban,190,137,721,3.794736842105263,0.7210526315789474,1
207,Male,54,Moderate,Rural,138,107,481,3.4855072463768115,0.7753623188405797,2
208,Male,50,Sedentary,Suburban,65,36,147,2.2615384615384615,0.5538461538461539,0
209,Male,36,Sedentary,Urban,53,37,214,4.037735849056604,0.6981132075471698,0
210,Male,43,Active,Rural,176,157,746,4.238636363636363,0.8920454545454546,1
211,Male,28,Moderate,Urban,146,103,517,3.541095890410959,0.7054794520547946,2
212,Female,48,Active,Rural,162,103,572,3.5308641975308643,0.6358024691358025,2
213,Female,18,Active,Urban,150,142,329,2.1933333333333334,0.9466666666666667,0
214,Male,57,Sedentary,Suburban,80,55,330,4.125,0.6875,0
215,Male,53,Active,Urban,152,87,698,4.592105263157895,0.5723684210526315,1
216,Female,46,Moderate,Suburban,115,85,346,3.008695652173913,0.7391304347826086,0
217,Male,42,Sedentary,Suburban,70,39,319,4.557142857142857,0.5571428571428572,0
218,Female,35,Moderate,Rural,112,72,224,2.0,0.6428571428571429,0
219,Female,20,Active,Rural,157,93,456,2.9044585987261144,0.5923566878980892,2
220,Male,35,Sedentary,Urban,68,58,166,2.4411764705882355,0.8529411764705882,0
221,Male,24,Moderate,Suburban,141,71,402,2.851063829787234,0.5035460992907801,2
222,Male,45,Moderate,Rural,124,92,491,3.9596774193548385,0.7419354838709677,2
223,Female,34,Active,Suburban,161,96,534,3.3167701863354035,0.5962732919254659,2
224,Female,42,Moderate,Suburban,128,85,419,3.2734375,0.6640625,2
225,Male,35,Active,Suburban,189,173,440,2.328042328042328,0.9153439153439153,2
226,Male,57,Active,Urban,164,111,506,3.0853658536585367,0.676829268292683,2
227,Male,20,Active,Suburban,160,136,332,2.075,0.85,2
228,Female,42,Active,Suburban,172,140,473,2.75,0.813953488372093,2
229,Male,24,Sedentary,Urban,57,45,120,2.1052631578947367,0.7894736842105263,0
230,Female,27,Moderate,Urban,142,101,689,4.852112676056338,0.7112676056338029,1
231,Male,36,Moderate,Rural,127,87,413,3.251968503937008,0.6850393700787402,2
232,Male,32,Sedentary,Suburban,74,52,368,4.972972972972973,0.7027027027027027,0
233,Female,38,Active,Suburban,191,118,462,2.418848167539267,0.6178010471204188,2
234,Female,38,Active,Urban,191,164,471,2.4659685863874348,0.8586387434554974,2
235,Female,54,Active,Urban,177,123,768,4.338983050847458,0.6949152542372882,1
236,Female,45,Active,Rural,176,153,827,4.698863636363637,0.8693181818181818,1
237,Female,49,Sedentary,Urban,94,90,208,2.2127659574468086,0.9574468085106383,0
238,Female,58,Moderate,Urban,144,86,705,4.895833333333333,0.5972222222222222,1
239,Male,44,Active,Urban,189,96,506,2.677248677248677,0.5079365079365079,2
240,Female,40,Active,Urban,173,128,372,2.1502890173410405,0.7398843930635838,2
241,Male,27,Active,Rural,158,95,407,2.5759493670886076,0.6012658227848101,2
242,Male,57,Moderate,Suburban,138,123,471,3.4130434782608696,0.8913043478260869,2
243,Male,58,Moderate,Suburban,128,108,411,3.2109375,0.84375,2
244,Female,23,Sedentary,Suburban,86,71,407,4.732558139534884,0.8255813953488372,2
245,Female,41,Moderate,Suburban,128,68,522,4.078125,0.53125,2
246,Male,35,Moderate,Suburban,101,53,339,3.3564356435643563,0.5247524752475248,0
247,Male,27,Active,Urban,188,165,885,4.707446808510638,0.8776595744680851,1
248,Male,32,Moderate,Suburban,122,87,330,2.7049180327868854,0.7131147540983607,0
249,Female,51,Active,Urban,197,195,602,3.0558375634517767,0.9898477157360406,1
250,Male,25,Sedentary,Suburban,96,57,449,4.677083333333333,0.59375,2
251,Female,52,Active,Suburban,166,162,355,2.13855421686747,0.9759036144578314,2
252,Male,44,Sedentary,Urban,56,46,255,4.553571428571429,0.8214285714285714,0
253,Female,42,Moderate,Suburban,132,101,564,4.2727272727272725,0.7651515151515151,2
254,Female,20,Sedentary,Urban,59,39,168,2.847457627118644,0.6610169491525424,0
255,Male,38,Active,Rural,164,84,521,3.176829268292683,0.5121951219512195,2
256,Female,56,Moderate,Rural,142,105,352,2.4788732394366195,0.7394366197183099,2
257,Male,49,Moderate,Rural,114,92,532,4.666666666666667,0.8070175438596491,2
258,Male,38,Active,Suburban,182,91,823,4.521978021978022,0.5,1
259,Male,26,Moderate,Suburban,141,110,610,4.326241134751773,0.7801418439716312,1
260,Male,18,Active,Suburban,169,97,715,4.230769230769231,0.5739644970414202,1
261,Male,21,Sedentary,Suburban,72,64,323,4.486111111111111,0.8888888888888888,0
262,Female,21,Sedentary,Urban,76,64,181,2.3815789473684212,0.8421052631578947,0
263,Male,43,Moderate,Rural,102,62,314,3.0784313725490198,0.6078431372549019,0
264,Female,51,Active,Urban,180,126,770,4.277777777777778,0.7,1
265,Male,44,Active,Rural,196,121,914,4.663265306122449,0.6173469387755102,1
266,Male,32,Sedentary,Rural,76,46,167,2.1973684210526314,0.6052631578947368,0
267,Female,49,Active,Urban,163,127,483,2.96319018404908,0.7791411042944786,2
268,Male,58,Moderate,Urban,145,95,523,3.606896551724138,0.6551724137931034,2
269,Male,24,Moderate,Urban,112,88,342,3.0535714285714284,0.7857142857142857,0
270,Female,31,Sedentary,Rural,58,45,269,4.637931034482759,0.7758620689655172,0
271,Female,40,Active,Urban,198,140,765,3.8636363636363638,0.7070707070707071,1
272,Male,18,Moderate,Suburban,112,76,380,3.392857142857143,0.6785714285714286,2
273,Male,49,Moderate,Urban,127,86,629,4.952755905511811,0.6771653543307087,1
274,Male,58,Moderate,Rural,141,140,329,2.3333333333333335,0.9929078014184397,0
275,Male,43,Active,Rural,164,158,370,2.2560975609756095,0.9634146341463414,2
276,Male,26,Sedentary,Urban,57,48,176,3.087719298245614,0.8421052631578947,0
277,Male,33,Sedentary,Urban,55,36,161,2.9272727272727272,0.6545454545454545,0
278,Male,48,Moderate,Rural,140,90,421,3.007142857142857,0.6428571428571429,2
279,Male,19,Sedentary,Rural,94,79,340,3.617021276595745,0.8404255319148937,0
280,Male,49,Moderate,Urban,118,67,476,4.033898305084746,0.5677966101694916,2
281,Female,27,Moderate,Suburban,146,108,424,2.904109589041096,0.7397260273972602,2
282,Female,42,Active,Suburban,166,89,465,2.8012048192771086,0.536144578313253,2
283,Male,35,Moderate,Suburban,114,113,279,2.4473684210526314,0.9912280701754386,0
284,Female,51,Moderate,Rural,145,141,395,2.7241379310344827,0.9724137931034482,2
285,Female,46,Active,Suburban,190,171,393,2.068421052631579,0.9,2
286,Male,41,Active,Suburban,150,147,464,3.0933333333333333,0.98,2
287,Female,20,Sedentary,Urban,98,96,328,3.3469387755102042,0.9795918367346939,0
288,Female,32,Active,Urban,155,87,552,3.5612903225806454,0.5612903225806452,2
289,Female,20,Moderate,Suburban,137,122,608,4.437956204379562,0.8905109489051095,1
290,Female,48,Active,Rural,199,151,628,3.1557788944723617,0.7587939698492462,1
291,Female,27,Active,Suburban,177,90,434,2.4519774011299433,0.5084745762711864,2
292,Male,55,Sedentary,Urban,85,60,301,3.541176470588235,0.7058823529411765,0
293,Male,39,Active,Urban,174,98,410,2.3563218390804597,0.5632183908045977,2
294,Female,31,Moderate,Urban,126,66,403,3.1984126984126986,0.5238095238095238,2
295,Female,26,Moderate,Suburban,116,113,385,3.3189655172413794,0.9741379310344828,2
296,Female,35,Moderate,Rural,117,79,303,2.58974358974359,0.6752136752136753,0
297,Male,25,Active,Suburban,168,117,474,2.8214285714285716,0.6964285714285714,2
298,Female,55,Active,Urban,173,130,382,2.208092485549133,0.7514450867052023,2
299,Male,32,Moderate,Urban,122,100,414,3.3934426229508197,0.819672131147541,2
300,Female,32,Active,Urban,153,90,712,4.65359477124183,0.5882352941176471,1
301,Female,23,Sedentary,Urban,61,33,189,3.098360655737705,0.5409836065573771,0
302,Male,29,Sedentary,Suburban,90,85,237,2.6333333333333333,0.9444444444444444,0
303,Male,59,Sedentary,Suburban,57,50,242,4.245614035087719,0.8771929824561403,0
304,Male,36,Sedentary,Rural,60,56,123,2.05,0.9333333333333333,0
305,Female,57,Moderate,Urban,128,80,492,3.84375,0.625,2
306,Female,22,Active,Suburban,198,122,695,3.51010101010101,0.6161616161616161,1
307,Male,44,Sedentary,Suburban,95,87,430,4.526315789473684,0.9157894736842105,2
308,Female,27,Moderate,Urban,115,88,527,4.582608695652174,0.7652173913043478,2
309,Male,31,Sedentary,Suburban,83,75,330,3.9759036144578315,0.9036144578313253,0
310,Male,51,Active,Urban,165,94,707,4.284848484848485,0.5696969696969697,1
311,Female,32,Sedentary,Rural,67,34,253,3.7761194029850746,0.5074626865671642,0
312,Female,46,Sedentary,Urban,82,81,245,2.9878048780487805,0.9878048780487805,0
313,Female,43,Sedentary,Urban,77,74,316,4.103896103896104,0.961038961038961,0
314,Female,44,Sedentary,Suburban,86,54,211,2.453488372093023,0.627906976744186,0
315,Female,20,Active,Rural,157,131,402,2.5605095541401273,0.8343949044585988,2
316,Female,20,Moderate,Rural,106,54,308,2.9056603773584904,0.5094339622641509,0
317,Female,52,Sedentary,Suburban,82,80,287,3.5,0.975609756097561,0
318,Male,52,Moderate,Rural,148,142,420,2.8378378378378377,0.9594594594594594,2
319,Male,23,Active,Rural,163,88,665,4.079754601226994,0.5398773006134969,1
320,Female,31,Active,Urban,167,153,677,4.053892215568863,0.9161676646706587,1
321,Male,43,Sedentary,Suburban,95,71,395,4.157894736842105,0.7473684210526316,2
322,Male,20,Moderate,Rural,137,134,646,4.7153284671532845,0.9781021897810219,1
323,Male,50,Sedentary,Rural,95,60,231,2.431578947368421,0.631578947368421,0
324,Male,59,Active,Rural,158,131,514,3.2531645569620253,0.8291139240506329,2
325,Female,30,Sedentary,Urban,75,43,156,2.08,0.5733333333333334,0
326,Male,46,Sedentary,Urban,93,81,301,3.236559139784946,0.8709677419354839,0
327,Male,26,Moderate,Suburban,112,58,243,2.169642857142857,0.5178571428571429,0
328,Female,49,Active,Suburban,158,131,569,3.6012658227848102,0.8291139240506329,2
329,Male,39,Sedentary,Urban,71,67,202,2.8450704225352115,0.9436619718309859,0
330,Male,39,Sedentary,Suburban,72,58,245,3.4027777777777777,0.8055555555555556,0
331,Female,51,Sedentary,Suburban,75,68,210,2.8,0.9066666666666666,0
332,Male,27,Moderate,Suburban,127,92,293,2.3070866141732282,0.7244094488188977,0
333,Female,42,Active,Urban,166,145,772,4.650602409638554,0.8734939759036144,1
334,Female,29,Sedentary,Urban,67,57,265,3.955223880597015,0.8507462686567164,0
335,Female,20,Sedentary,Rural,75,67,211,2.8133333333333335,0.8933333333333333,0
336,Male,36,Sedentary,Rural,61,51,267,4.377049180327869,0.8360655737704918,0
337,Male,50,Active,Rural,159,114,447,2.811320754716981,0.7169811320754716,2
338,Female,43,Moderate,Rural,124,108,320,2.5806451612903225,0.8709677419354839,0
339,Female,30,Moderate,Suburban,146,104,470,3.219178082191781,0.7123287671232876,2
340,Female,24,Sedentary,Suburban,52,42,180,3.4615384615384617,0.8076923076923077,0
341,Male,51,Sedentary,Urban,52,29,185,3.5576923076923075,0.5576923076923077,0
